% Model:              vacuumTaperCoilV2field.mph
% Version:            COMSOL 6.2.0.415
% Date:               Nov 28 2025, 16:23
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density, z-component
0.3357313888239483        2.4266660626378243
0.34029192954464504       2.387365543769064
0.3408025979178376        2.3829648524332194
0.34095027983212084       2.381692201619573
0.34147864371579095       2.377139018992452
0.34161369776823924       2.375975188942111
0.3466598054341183        2.332490290619294
0.34678949579065915       2.3313726822880714
0.3468235005842487        2.33107964553784
0.3474749852750591        2.3254654677567506
0.3474960067125302        2.325284315246429
0.34858038585863943       2.3131578709672427
0.3526762579823652        2.2807605342642807
0.35322270776254006       2.280981593195131
0.3534078108091866        2.2735827353358107
0.3576812547925761        2.241591162141372
0.35831406373117525       2.237611449071988
0.35847811015923          2.236579766878688
0.35929316804800515       2.2314538965971513
0.3631395938732152        2.207263860405707
0.3642817182493503        2.2000810805343884
0.36454912290091923       2.1983993821231453
0.3651785252868237        2.1944410927433715
0.36848387390588067       2.173653871995153
0.37024937276752523       2.162550711996796
0.37062013564260854       2.1602189973676147
0.37106388252564226       2.1574282888896104
0.3736789749309882        2.140982065095361
0.37621702728570033       2.132478826672261
0.37644892004981123       2.1304005543498206
0.37660448960821447       2.119899146482961
0.3769572118411634        2.1161430025502197
0.3839907572180476        2.0946821140106384
0.38421705335963785       2.0940306258870534
0.3843401667806399        2.0936761923952893
0.3849582187993791        2.091896871072636
0.3919075551350994        2.0718902988982695
0.39214333801747103       2.071211499222191
0.3922910491037508        2.0707862510595105
0.3929592257575947        2.0688626250030695
0.399829706276225         2.0490830722906654
0.4000696226753043        2.0483923725573217
0.4002419314268617        2.0478963097237255
0.4009602327158104        2.045828378933493
0.40775604131820625       2.026263800573916
0.4079959073331375        2.0308552994306472
0.4080347553767052        2.0360643715779583
0.40816396642118186       2.035011696477993
0.40821520340659445       2.0341481214428687
0.40855443463439634       2.0360871726016065
0.4087530204571838        2.035744594023599
0.40938287537897045       2.0324435044841773
0.41591521722130925       2.0251373454995876
0.4159723928277786        2.02507339690642
0.41673747346130074       2.0242176852980207
0.41729163117958423       2.023597882401899
0.4238457196721296        2.016267400672444
0.4238993935959791        2.0162073685690363
0.4247219264654177        2.0152873989686606
0.42520933199880123       2.014742255679648
0.43177622212294986       2.0073974558452887
0.4318263943641796        2.0073413402316413
0.4327063794695346        2.006357112639305
0.4331345442882503        2.005878227683088
0.43970672457377025       2.0034212511605984
0.43977204193033564       2.001856638395452
0.44060315194117144       1.9961381855951499
0.44627385070606584       1.9932973619886734
0.4474986586661003        1.9922452976234997
0.44868862202542137       1.9912231634709994
0.4489904434653903        1.9909639101088406
0.45512812606434055       1.9856918696275119
0.45529316838181333       1.9855501044311499
0.4572757244495099        1.983847162697541
0.4573777349896091        1.9837595394475187
0.4616597443239958        1.9778210085936752
0.4630798021756795        1.9740006075373149
0.46310758825128134       1.973970084083294
0.4658468261728932        1.9709609868667526
0.46585829967918885       1.9709483830342833
0.4708313204372408        1.967683483733098
0.4710522261579363        1.9645464532657781
0.47658363611362276       1.9566926936647624
0.4779206980513873        1.9566763012195247
0.4784268031581803        1.9561956573936388
0.47994831212484346       1.954750692936578
0.48494970164371776       1.95000091475649
0.48545041511957066       1.949525391317832
0.48627878421618975       1.948738696051379
0.48679375481190523       1.9482496327441337
0.4877207995130345        1.9473692260737885
0.4891091973515078        1.946050676152089
0.49160040885653594       1.9436847932301542
0.4941307652741991        1.9412817347090794
0.4954932869012255        1.939987759210955
0.499527061573026         1.9361569168326085
0.501634758589393         1.93415525444243
0.5018977346571001        1.9339055082501826
0.5019827463322086        1.9328914803085064
0.5021501446445129        1.9317624524539436
0.5026472121045652        1.931181243499809
0.5092389617816916        1.9234736700944586
0.5104977863512437        1.9220017569834464
0.5130014336903872        1.919074302727334
0.5148380232467498        1.916926822996686
0.5179298001584345        1.9133116830616208
0.5190128263702787        1.9120453267167097
0.5262050862786698        1.9036355912277263
0.5265641657730801        1.9032157282630988
0.5266206385351775        1.9031496960287773
0.5266528723412844        1.8996336258959894
0.5266934817327589        1.8961172738397936
0.5277693838038544        1.8951112430912158
0.5277802502430862        1.9012410104886914
0.5279772637280745        1.9068445462580548
0.5281638172855165        1.906336632262564
0.528509237440566         1.9053961852752208
0.5286249471367059        1.905081152022095
0.5290755213636654        1.9037754257618
0.5337618696590911        1.9070763255996097
0.534176798822136         1.919021018112757
0.537008091878816         1.9176485605276694
0.5373235119917835        1.9174956619340369
0.5375890167787254        1.9070677684867277
0.5394112544436294        1.893323894929098
0.5425118842057611        1.8874625931071745
0.5433882389025929        1.8858059685582118
0.5465798098530957        1.8797727552879775
0.5489493843944045        1.8752934099156997
0.551587666198712         1.870306111485169
0.5530793571606558        1.8674862807979418
0.5555706029274663        1.8627769331904989
0.5609120948437973        1.8526795985511442
0.561990359740302         1.850641291340272
0.5627704754187188        1.8491665930376695
0.5645613960018367        1.8457811110930167
0.5687316934293801        1.8378977539090908
0.5706987408832638        1.8352553227387327
0.5724774074049539        1.8427923360027658
0.5734089468127401        1.86687839493983
0.5734892182463383        1.8830606676834951
0.5735105023160654        1.8608146299630657
0.5735862830704924        1.8295376200977342
0.5790050618525943        1.8118839853402817
0.5797784474111877        1.8106408815413895
0.5844200354148695        1.8031802099317562
0.5851592228413383        1.801992074612016
0.5851947479860612        1.801934973154831
0.585713257520186         1.8011015451647776
0.5860404933444683        1.8005755615958052
0.5867057281897746        1.7995062941984883
0.5870073884008342        1.7990214196748076
0.5906334934183882        1.7931929879534858
0.5906334934183882        1.792523088630035
0.5921983599451157        1.7899080700266943
0.5924038393128326        1.7895646973747728
0.5961849627209327        1.7832461341714225
0.5976333227857582        1.7808258072942147
0.5980695383880936        1.7830026190594706
0.5991402769427525        1.7819041304148886
0.5994622166884875        1.779372346331355
0.6004457434290362        1.7755617536165023
0.6020180423268593        1.769470012051597
0.6033870157757932        1.7641660380606026
0.6039819688829935        1.7618609416331121
0.6043628560952099        1.7603852257463828
0.6053282205915173        1.7566450011392218
0.6069129050739248        1.7505052726549453
0.6071774154833209        1.7494804490304374
0.607633754608834         1.7477124009688105
0.6085017210774994        1.7435125660822601
0.6085017210774994        1.7443495369348514
0.6086997097904503        1.7429490785662773
0.6094952731834042        1.7406848583820849
0.6096870243363802        1.7401391233284664
0.6107726286753413        1.737049429561643
0.6134947682162423        1.7320933323907646
0.6146635660952452        1.7303261977485662
0.6148618744251259        1.729552779160512
0.6182788511850914        1.7162262923573723
0.6191543895832536        1.712811621515751
0.6201205814596475        1.7090433947484736
0.6213891474142392        1.7040958845251495
0.6230869749206553        1.697474219396089
0.6240849535998179        1.6935820215171058
0.6267463947030527        1.683202185120457
0.6277976381219548        1.6791022504316881
0.6277976381219548        1.67209068879959
0.6311341234295509        1.6577410520482543
0.6326855184753569        1.651068774692655
0.6334781573180788        1.6476597743766155
0.6371942940387642        1.6362250893873296
0.6388387037078275        1.6322092325615964
0.6397452259681875        1.6265717769396395
0.6402349651691044        1.6250329820897906
0.6413457150426202        1.6228615977135759
0.6461677605424204        1.5935555375630823
0.6473510358777346        1.585766674519574
0.6477962785778779        1.5828358820750428
0.6488940831852356        1.5756096267141309
0.6542393404298825        1.5404246825440109
0.6552561329335299        1.5337316861481443
0.6554962988951346        1.5321508032151328
0.6564424513278511        1.5259227922892102
0.6623109203173448        1.4872938275249656
0.6631612299893253        1.481696697776742
0.6631963192123911        1.4814657243552511
0.6639908194704665        1.4762359578643105
0.670382500204807         1.4317437346931507
0.6705662752305017        1.4279452459224213
0.6708651207909793        1.4263152528926437
0.6712988023627506        1.4227488097146836
0.6714152871039654        1.4207032377790434
0.6717222248708351        1.4180658714904584
0.6777044521910058        1.3718311230937936
0.677894725477643         1.37110763024486
0.679024617921531         1.3622713293778252
0.6816735324684975        1.3415555470618323
0.6821296193097474        1.3379887292000223
0.6850012830063336        1.3155309416917875
0.68720839844768          1.2982702402918205
0.6911793484436268        1.2672155066470672
0.6927277481832035        1.2551062779896314
0.6935902106768685        1.248361407606801
0.6953921789738291        1.2342691512058077
0.6977082381992638        1.2161564571591232
0.7006851644187557        1.1928754662323509
0.7019206357535835        1.1832134877969755
0.7033258770566595        1.1722238267792942
0.703575959499978         1.177381604758506
